empno	ename	job	mgr	hiredate	sal	comm	deptno
7369	SMITH	CLERK	7902	1980-12-17 00:00:00	800.0	(null)	20.0
7499	ALLEN	SALESMAN	7698	1981-02-20 00:00:00	1600.0	300.0	30.0
7521	WARD	SALESMAN	7698	1981-02-22 00:00:00	1250.0	500.0	30.0
7566	JONES	MANAGER	7839	1981-04-02 00:00:00	2975.0	(null)	20.0
7654	MARTIN	SALESMAN	7698	1981-09-28 00:00:00	1250.0	1400.0	30.0
7698	BLAKE	MANAGER	7839	1981-05-01 00:00:00	2850.0	(null)	30.0
7782	CLARK	MANAGER	7839	1981-06-09 00:00:00	2450.0	(null)	10.0
7788	SCOTT	ANALYST	7566	1987-04-19 00:00:00	3000.0	(null)	20.0
7839	KING	PRESIDENT	(null)	1981-11-17 00:00:00	5000.0	(null)	10.0
7844	TURNER	SALESMAN	7698	1981-09-08 00:00:00	1500.0	0.0	30.0
7876	ADAMS	CLERK	7788	1987-05-23 00:00:00	1100.0	(null)	20.0
7900	JAMES	CLERK	7698	1981-12-03 00:00:00	950.0	(null)	30.0
7902	FORD	ANALYST	7566	1981-12-03 00:00:00	3000.0	(null)	20.0
7934	MILLER	CLERK	7782	1982-01-23 00:00:00	1300.0	(null)	10.0
